date,anomaly_mm,cluster_id,cluster_name
1993-01-01,-23.041935483870986,1,Dry
1993-02-01,-29.31612903225806,1,Dry
1993-03-01,20.419354838709694,2,Normal
1993-04-01,-66.4548387096774,0,Drought
1993-05-01,-73.83870967741933,0,Drought
1993-06-01,-136.65483870967742,0,Drought
1993-07-01,-15.941935483870964,1,Dry
1993-08-01,19.222580645161287,2,Normal
1993-09-01,18.17419354838711,2,Normal
1993-10-01,45.85161290322583,2,Normal
1993-11-01,-7.367741935483878,1,Dry
1993-12-01,67.67741935483866,2,Normal
1994-01-01,-23.041935483870986,1,Dry
1994-02-01,16.083870967741916,2,Normal
1994-03-01,-93.0806451612903,0,Drought
1994-04-01,-60.5548387096774,1,Dry
1994-05-01,108.76129032258066,3,Wet
1994-06-01,-91.15483870967742,0,Drought
1994-07-01,-103.74193548387095,0,Drought
1994-08-01,-37.577419354838725,1,Dry
1994-09-01,38.97419354838709,2,Normal
1994-10-01,-151.44838709677418,0,Drought
1994-11-01,-80.86774193548388,0,Drought
1994-12-01,-69.62258064516132,0,Drought
1995-01-01,-97.64193548387101,0,Drought
1995-02-01,-68.91612903225808,0,Drought
1995-03-01,48.419354838709694,2,Normal
1995-04-01,-75.5548387096774,0,Drought
1995-05-01,27.36129032258063,2,Normal
1995-06-01,-67.45483870967743,0,Drought
1995-07-01,77.05806451612904,2,Normal
1995-08-01,-34.077419354838725,1,Dry
1995-09-01,10.074193548387115,1,Dry
1995-10-01,-64.6483870967742,0,Drought
1995-11-01,-27.367741935483878,1,Dry
1995-12-01,-21.422580645161332,1,Dry
1996-01-01,42.35806451612899,2,Normal
1996-02-01,37.083870967741916,2,Normal
1996-03-01,36.01935483870972,2,Normal
1996-04-01,31.545161290322596,2,Normal
1996-05-01,126.76129032258066,3,Wet
1996-06-01,-6.054838709677426,1,Dry
1996-07-01,-73.64193548387095,0,Drought
1996-08-01,15.522580645161298,2,Normal
1996-09-01,23.474193548387092,2,Normal
1996-10-01,-5.048387096774206,1,Dry
1996-11-01,114.23225806451615,3,Wet
1996-12-01,-27.422580645161332,1,Dry
1997-01-01,125.658064516129,3,Wet
1997-02-01,-7.016129032258078,1,Dry
1997-03-01,-126.5806451612903,0,Drought
1997-04-01,46.545161290322596,2,Normal
1997-05-01,-129.63870967741934,0,Drought
1997-06-01,-109.35483870967742,0,Drought
1997-07-01,-19.941935483870964,1,Dry
1997-08-01,-17.67741935483872,1,Dry
1997-09-01,-53.925806451612885,1,Dry
1997-10-01,-44.048387096774206,1,Dry
1997-11-01,-99.76774193548385,0,Drought
1997-12-01,-101.22258064516132,0,Drought
1998-01-01,52.158064516129,2,Normal
1998-02-01,13.683870967741939,2,Normal
1998-03-01,-26.280645161290323,1,Dry
1998-04-01,-173.5548387096774,0,Drought
1998-05-01,-44.53870967741935,1,Dry
1998-06-01,-70.05483870967743,0,Drought
1998-07-01,382.35806451612905,3,Wet
1998-08-01,208.3225806451613,3,Wet
1998-09-01,5.3741935483870975,1,Dry
1998-10-01,175.55161290322582,3,Wet
1998-11-01,102.93225806451613,3,Wet
1998-12-01,78.37741935483865,2,Normal
1999-01-01,-86.04193548387099,0,Drought
1999-02-01,45.88387096774193,2,Normal
1999-03-01,-173.78064516129032,0,Drought
1999-04-01,-51.85483870967738,1,Dry
1999-05-01,49.76129032258066,2,Normal
1999-06-01,-119.55483870967743,0,Drought
1999-07-01,61.258064516129025,2,Normal
1999-08-01,-93.97741935483872,0,Drought
1999-09-01,6.674193548387109,1,Dry
1999-10-01,-40.248387096774195,1,Dry
1999-11-01,-114.16774193548386,0,Drought
1999-12-01,156.37741935483865,3,Wet
2000-01-01,29.658064516129002,2,Normal
2000-02-01,-101.91612903225807,0,Drought
2000-03-01,-127.0806451612903,0,Drought
2000-04-01,-22.254838709677387,1,Dry
2000-05-01,-123.63870967741934,0,Drought
2000-06-01,-73.95483870967742,0,Drought
2000-07-01,-2.041935483870958,1,Dry
2000-08-01,-73.37741935483871,0,Drought
2000-09-01,-59.02580645161291,1,Dry
2000-10-01,4.551612903225816,1,Dry
2000-11-01,-5.467741935483872,1,Dry
2000-12-01,127.37741935483865,3,Wet
2001-01-01,-46.14193548387101,1,Dry
2001-02-01,214.7838709677419,3,Wet
2001-03-01,32.11935483870968,2,Normal
2001-04-01,-59.35483870967738,1,Dry
2001-05-01,-48.33870967741936,1,Dry
2001-06-01,2.6451612903225907,1,Dry
2001-07-01,-109.64193548387095,0,Drought
2001-08-01,52.72258064516129,2,Normal
2001-09-01,-40.02580645161288,1,Dry
2001-10-01,-111.4483870967742,0,Drought
2001-11-01,114.33225806451611,3,Wet
2001-12-01,75.47741935483867,2,Normal
2002-01-01,-83.64193548387101,0,Drought
2002-02-01,-47.51612903225808,1,Dry
2002-03-01,-16.280645161290295,1,Dry
2002-04-01,3.745161290322585,1,Dry
2002-05-01,-19.738709677419337,1,Dry
2002-06-01,-79.05483870967743,0,Drought
2002-07-01,-74.94193548387095,0,Drought
2002-08-01,-150.3774193548387,0,Drought
2002-09-01,-54.2258064516129,1,Dry
2002-10-01,-44.34838709677419,1,Dry
2002-11-01,-34.16774193548386,1,Dry
2002-12-01,-100.12258064516132,0,Drought
2003-01-01,40.458064516129014,2,Normal
2003-02-01,103.2838709677419,3,Wet
2003-03-01,149.4193548387097,3,Wet
2003-04-01,-162.9548387096774,0,Drought
2003-05-01,70.76129032258066,2,Normal
2003-06-01,-27.754838709677415,1,Dry
2003-07-01,102.15806451612906,3,Wet
2003-08-01,-10.477419354838702,1,Dry
2003-09-01,-50.52580645161291,1,Dry
2003-10-01,106.2516129032258,3,Wet
2003-11-01,-26.16774193548386,1,Dry
2003-12-01,-32.52258064516133,1,Dry
2004-01-01,32.35806451612899,2,Normal
2004-02-01,-173.71612903225807,0,Drought
2004-03-01,34.01935483870966,2,Normal
2004-04-01,-15.554838709677398,1,Dry
2004-05-01,-107.63870967741934,0,Drought
2004-06-01,25.945161290322574,2,Normal
2004-07-01,-35.84193548387097,1,Dry
2004-08-01,-57.17741935483872,1,Dry
2004-09-01,72.87419354838713,2,Normal
2004-10-01,-30.34838709677419,1,Dry
2004-11-01,-78.56774193548387,0,Drought
2004-12-01,-24.522580645161327,1,Dry
2005-01-01,34.658064516129,2,Normal
2005-02-01,-107.41612903225807,0,Drought
2005-03-01,20.51935483870966,2,Normal
2005-04-01,134.5451612903226,3,Wet
2005-05-01,-101.43870967741935,0,Drought
2005-06-01,2.545161290322568,1,Dry
2005-07-01,-87.74193548387095,0,Drought
2005-08-01,-44.17741935483872,1,Dry
2005-09-01,-31.925806451612885,1,Dry
2005-10-01,-17.6483870967742,1,Dry
2005-11-01,-67.56774193548387,0,Drought
2005-12-01,-155.22258064516132,0,Drought
2006-01-01,-50.44193548387099,1,Dry
2006-02-01,-114.21612903225807,0,Drought
2006-03-01,99.4193548387097,2,Normal
2006-04-01,14.845161290322608,2,Normal
2006-05-01,-103.93870967741935,0,Drought
2006-06-01,-100.25483870967741,0,Drought
2006-07-01,-98.14193548387095,0,Drought
2006-08-01,18.522580645161298,2,Normal
2006-09-01,113.17419354838708,3,Wet
2006-10-01,7.751612903225805,1,Dry
2006-11-01,-14.267741935483855,1,Dry
2006-12-01,95.87741935483865,2,Normal
2007-01-01,-21.64193548387101,1,Dry
2007-02-01,-38.51612903225808,1,Dry
2007-03-01,69.4193548387097,2,Normal
2007-04-01,87.94516129032263,2,Normal
2007-05-01,-2.6387096774193424,1,Dry
2007-06-01,148.1451612903226,3,Wet
2007-07-01,-71.54193548387096,0,Drought
2007-08-01,37.72258064516129,2,Normal
2007-09-01,-65.6258064516129,0,Drought
2007-10-01,35.85161290322583,2,Normal
2007-11-01,-12.467741935483872,1,Dry
2007-12-01,-35.222580645161315,1,Dry
2008-01-01,-89.14193548387101,0,Drought
2008-02-01,-0.8161290322580612,1,Dry
2008-03-01,-130.28064516129032,0,Drought
2008-04-01,81.5451612903226,2,Normal
2008-05-01,47.061290322580675,2,Normal
2008-06-01,74.04516129032257,2,Normal
2008-07-01,-19.141935483870952,1,Dry
2008-08-01,-91.37741935483871,0,Drought
2008-09-01,-80.82580645161289,0,Drought
2008-10-01,69.2516129032258,2,Normal
2008-11-01,105.93225806451613,3,Wet
2008-12-01,-22.62258064516132,1,Dry
2009-01-01,156.458064516129,3,Wet
2009-02-01,120.88387096774193,3,Wet
2009-03-01,-1.080645161290306,1,Dry
2009-04-01,126.94516129032263,3,Wet
2009-05-01,188.36129032258063,3,Wet
2009-06-01,7.345161290322579,1,Dry
2009-07-01,-13.141935483870952,1,Dry
2009-08-01,-6.277419354838713,1,Dry
2009-09-01,3.5741935483871146,1,Dry
2009-10-01,4.151612903225811,1,Dry
2009-11-01,-1.3677419354838776,1,Dry
2009-12-01,-126.82258064516134,0,Drought
2010-01-01,193.958064516129,3,Wet
2010-02-01,-30.916129032258084,1,Dry
2010-03-01,-10.380645161290317,1,Dry
2010-04-01,18.345161290322608,2,Normal
2010-05-01,70.86129032258069,2,Normal
2010-06-01,76.34516129032258,2,Normal
2010-07-01,-33.941935483870935,1,Dry
2010-08-01,-52.87741935483871,1,Dry
2010-09-01,-2.4258064516128854,1,Dry
2010-10-01,75.4516129032258,2,Normal
2010-11-01,-26.16774193548386,1,Dry
2010-12-01,47.777419354838685,2,Normal
2011-01-01,-69.741935483871,0,Drought
2011-02-01,-2.316129032258061,1,Dry
2011-03-01,47.719354838709705,2,Normal
2011-04-01,135.3451612903226,3,Wet
2011-05-01,115.26129032258066,3,Wet
2011-06-01,7.845161290322579,1,Dry
2011-07-01,24.458064516129042,2,Normal
2011-08-01,-136.7774193548387,0,Drought
2011-09-01,33.67419354838711,2,Normal
2011-10-01,-91.6483870967742,0,Drought
2011-11-01,-66.16774193548386,0,Drought
2011-12-01,-141.12258064516132,0,Drought
2012-01-01,-121.14193548387101,0,Drought
2012-02-01,48.88387096774193,2,Normal
2012-03-01,-6.780645161290295,1,Dry
2012-04-01,120.84516129032261,3,Wet
2012-05-01,69.56129032258067,2,Normal
2012-06-01,140.4451612903226,3,Wet
2012-07-01,133.55806451612904,3,Wet
2012-08-01,50.922580645161275,2,Normal
2012-09-01,82.37419354838713,2,Normal
2012-10-01,2.6516129032258107,1,Dry
2012-11-01,47.432258064516134,2,Normal
2012-12-01,-82.62258064516132,0,Drought
2013-01-01,-82.14193548387101,0,Drought
2013-02-01,-58.31612903225806,1,Dry
2013-03-01,-114.38064516129032,0,Drought
2013-04-01,25.345161290322608,2,Normal
2013-05-01,71.86129032258063,2,Normal
2013-06-01,281.14516129032256,3,Wet
2013-07-01,15.058064516129036,2,Normal
2013-08-01,81.12258064516126,2,Normal
2013-09-01,-122.1258064516129,0,Drought
2013-10-01,-13.048387096774206,1,Dry
2013-11-01,25.33225806451611,2,Normal
2013-12-01,160.17741935483866,3,Wet
2014-01-01,108.35806451612899,3,Wet
2014-02-01,-30.31612903225806,1,Dry
2014-03-01,2.1193548387096826,1,Dry
2014-04-01,-97.85483870967738,0,Drought
2014-05-01,-21.038709677419348,1,Dry
2014-06-01,48.14516129032259,2,Normal
2014-07-01,-55.64193548387095,1,Dry
2014-08-01,61.82258064516131,2,Normal
2014-09-01,34.47419354838709,2,Normal
2014-10-01,-75.0483870967742,0,Drought
2014-11-01,175.13225806451612,3,Wet
2014-12-01,151.97741935483867,3,Wet
2015-01-01,-87.54193548387099,0,Drought
2015-02-01,-50.916129032258084,1,Dry
2015-03-01,220.51935483870966,3,Wet
2015-04-01,71.44516129032263,2,Normal
2015-05-01,56.76129032258066,2,Normal
2015-06-01,168.24516129032256,3,Wet
2015-07-01,51.35806451612905,2,Normal
2015-08-01,-0.5774193548387245,1,Dry
2015-09-01,-25.625806451612902,1,Dry
2015-10-01,-112.2483870967742,0,Drought
2015-11-01,-40.46774193548387,1,Dry
2015-12-01,-43.82258064516134,1,Dry
2016-01-01,-172.941935483871,0,Drought
2016-02-01,70.08387096774192,2,Normal
2016-03-01,-42.080645161290306,1,Dry
2016-04-01,-169.1548387096774,0,Drought
2016-05-01,-211.73870967741934,0,Drought
2016-06-01,10.245161290322585,1,Dry
2016-07-01,-10.541935483870958,1,Dry
2016-08-01,-43.577419354838725,1,Dry
2016-09-01,-128.4258064516129,0,Drought
2016-10-01,-93.94838709677418,0,Drought
2016-11-01,83.33225806451611,2,Normal
2016-12-01,86.87741935483865,2,Normal
2017-01-01,155.55806451612898,3,Wet
2017-02-01,-29.216129032258067,1,Dry
2017-03-01,-96.98064516129031,0,Drought
2017-04-01,-111.5548387096774,0,Drought
2017-05-01,-51.73870967741934,1,Dry
2017-06-01,-23.65483870967742,1,Dry
2017-07-01,69.95806451612907,2,Normal
2017-08-01,38.82258064516128,2,Normal
2017-09-01,145.67419354838714,3,Wet
2017-10-01,179.9516129032258,3,Wet
2017-11-01,-42.96774193548387,1,Dry
2017-12-01,85.0774193548387,2,Normal
2018-01-01,111.75806451612902,3,Wet
2018-02-01,5.183870967741939,1,Dry
2018-03-01,123.9193548387097,3,Wet
2018-04-01,67.14516129032262,2,Normal
2018-05-01,-50.33870967741936,1,Dry
2018-06-01,-1.254838709677415,1,Dry
2018-07-01,-20.941935483870964,1,Dry
2018-08-01,11.922580645161275,1,Dry
2018-09-01,49.7741935483871,2,Normal
2018-10-01,-93.0483870967742,0,Drought
2018-11-01,18.832258064516168,2,Normal
2018-12-01,-15.222580645161315,1,Dry
2019-01-01,40.758064516129025,2,Normal
2019-02-01,143.7838709677419,3,Wet
2019-03-01,-60.98064516129031,1,Dry
2019-04-01,117.0451612903226,3,Wet
2019-05-01,52.66129032258064,2,Normal
2019-06-01,-70.25483870967741,0,Drought
2019-07-01,-25.141935483870952,1,Dry
2019-08-01,-9.177419354838719,1,Dry
2019-09-01,-5.525806451612908,1,Dry
2019-10-01,-84.44838709677418,0,Drought
2019-11-01,146.73225806451615,3,Wet
2019-12-01,65.17741935483866,2,Normal
2020-01-01,10.758064516129025,1,Dry
2020-02-01,10.683870967741939,1,Dry
2020-03-01,25.119354838709683,2,Normal
2020-04-01,-71.9548387096774,0,Drought
2020-05-01,-10.638709677419342,1,Dry
2020-06-01,80.04516129032257,2,Normal
2020-07-01,-154.84193548387094,0,Drought
2020-08-01,25.522580645161298,2,Normal
2020-09-01,47.7741935483871,2,Normal
2020-10-01,54.751612903225805,2,Normal
2020-11-01,-5.467741935483872,1,Dry
2020-12-01,21.37741935483865,2,Normal
2021-01-01,-60.541935483870986,1,Dry
2021-02-01,-140.91612903225808,0,Drought
2021-03-01,-37.98064516129031,1,Dry
2021-04-01,70.14516129032262,2,Normal
2021-05-01,-98.93870967741935,0,Drought
2021-06-01,-50.754838709677415,1,Dry
2021-07-01,122.75806451612908,3,Wet
2021-08-01,-6.0774193548387245,1,Dry
2021-09-01,-35.6258064516129,1,Dry
2021-10-01,148.4516129032258,3,Wet
2021-11-01,-39.067741935483866,1,Dry
2021-12-01,-103.82258064516134,0,Drought
2022-01-01,-46.341935483871,1,Dry
2022-02-01,-32.21612903225807,1,Dry
2022-03-01,-11.180645161290329,1,Dry
2022-04-01,-110.85483870967738,0,Drought
2022-05-01,7.461290322580652,1,Dry
2022-06-01,-14.35483870967741,1,Dry
2022-07-01,32.65806451612906,2,Normal
2022-08-01,91.12258064516126,2,Normal
2022-09-01,153.17419354838714,3,Wet
2022-10-01,100.65161290322578,3,Wet
2022-11-01,-75.86774193548388,0,Drought
2022-12-01,34.37741935483871,2,Normal
2023-01-01,26.258064516129025,2,Normal
2023-02-01,234.18387096774194,3,Wet
2023-03-01,146.01935483870966,3,Wet
2023-04-01,96.14516129032262,2,Normal
2023-05-01,136.56129032258067,3,Wet
2023-06-01,-31.554838709677426,1,Dry
2023-07-01,-46.14193548387095,1,Dry
2023-08-01,152.3225806451613,3,Wet
2023-09-01,-83.4258064516129,0,Drought
2023-10-01,61.551612903225816,2,Normal
2023-11-01,-68.46774193548387,0,Drought
2023-12-01,-150.62258064516132,0,Drought
2024-01-01,19.458064516129014,2,Normal
2024-02-01,46.68387096774194,2,Normal
2024-03-01,143.31935483870967,3,Wet
2024-04-01,23.44516129032263,2,Normal
2024-05-01,-178.93870967741935,0,Drought
2024-06-01,-35.45483870967743,1,Dry
2024-07-01,102.05806451612904,3,Wet
2024-08-01,-44.67741935483872,1,Dry
2024-09-01,236.9741935483871,3,Wet
2024-10-01,163.15161290322578,3,Wet
2024-11-01,-67.86774193548388,0,Drought
2024-12-01,-148.42258064516133,0,Drought
